v2.2
08/04/2021
06:00:23
18:26:09
2.3
60
H&eacute;ctor Huerta pe&ntilde;a
Obs. Meteorol&oacute;gico
19/07/1969
0
3,6,12,1,7,20.0,-999.0,92,2,0,50,50,-999.00,1,  0.06,
3,7,12,1,5,22.2,-999.0,86,1,341,85,186,-999.00,2,  0.30,
3,8,12,0,7,24.4,-999.0,72,2,0,113,113,-999.00,5,  0.52,
3,9,12,0,6,25.6,-999.0,65,2,0,230,230,-999.00,5,  0.71,
3,10,12,0,6,27.1,-999.0,57,2,0,330,330,0.24,2,  0.86,
3,11,12,0,7,29.0,-999.0,51,1,794,404,1150,0.19,3,  0.94,
3,12,12,0,9,28.4,-999.0,54,2,0,353,353,0.23,2,  0.97,
3,13,12,0,6,28.2,-999.0,54,2,0,338,338,0.20,3,  0.94,
3,14,12,0,7,29.0,-999.0,52,2,0,295,295,0.18,4,  0.84,
3,15,12,0,6,28.6,-999.0,56,1,595,282,692,0.22,2,  0.69,
3,16,12,0,5,27.9,-999.0,63,2,0,179,179,-999.00,4,  0.50,
3,17,12,0,4,27.0,-999.0,59,2,0,97,97,-999.00,4,  0.28,
3,18,12,0,4,25.2,-999.0,65,2,0,13,13,-999.00,4,  0.04,
