v2.2
23/03/2021
06:34:29
18:40:49
1.8
5
Hidelisa Batista Molina
T&eacute;c. Meteorolog&iacute;a
30/12/1899
121
3,7,31,4,1,16.5,17.0,89,1,561,58,189,-999.00,0,  0.23, CC:106,106
3,8,31,3,1,23.4,30.0,61,0,849,108,499,-999.00,0,  0.46, CC:106,106
3,9,31,3,1,25.8,42.5,51,0,983,119,763,-999.00,0,  0.65, CC:106
3,10,31,3,1,26.4,37.0,48,1,1060,132,986,-999.00,0,  0.81, CC:106
3,11,31,3,1,27.1,51.0,48,1,1060,126,1082,-999.00,0,  0.90, CC:106
3,12,31,3,1,27.3,55.0,46,1,1079,126,1137,-999.00,0,  0.94, CC:106,106
3,13,31,3,1,28.0,55.0,47,1,890,90,899,-999.00,0,  0.91, CC:106
3,14,31,3,1,28.4,52.0,45,1,1004,108,931,-999.00,0,  0.82, CC:106
3,15,31,3,2,28.6,46.0,49,1,947,108,748,-999.00,0,  0.68, CC:106,106
3,16,31,3,3,27.8,40.0,44,2,0,72,72,-999.00,0,  0.49, CC:106,106
3,17,31,3,2,27.3,29.0,48,1,279,54,129,-999.00,0,  0.27, CC:106
3,18,31,3,2,25.0,25.6,72,4,0,9,9,-999.00,0,  0.03, CC:106
