v2.2
04/04/2021
06:23:25
18:44:42
2.7
2
Benito Clapet Cuti&ntilde;o
T&eacute;c. Meteorolog&iacute;a
30/12/1899
121
3,6,31,3,0,20.8,18.5,61,4,0,18,18,-999.00,0,  0.04, CC:106
3,7,31,3,1,22.6,22.0,50,0,641,81,257,-999.00,0,  0.27, CC:106
3,8,31,3,3,23.4,29.0,47,1,813,143,549,-999.00,0,  0.50, CC:106
3,9,31,3,3,24.4,35.0,41,1,964,143,809,-999.00,0,  0.69, CC:106
3,10,31,3,3,24.8,38.0,43,1,1021,135,990,-999.00,0,  0.84, CC:106
3,11,31,3,4,25.4,40.0,41,3,0,161,161,-999.00,0,  0.93, CC:106
3,12,31,3,4,25.8,48.0,38,3,0,231,231,-999.00,0,  0.96, CC:106
3,13,31,3,4,26.4,45.0,31,1,1079,152,1157,-999.00,0,  0.93, CC:106
3,14,31,3,3,27.0,45.0,27,1,984,136,963,-999.00,0,  0.84, CC:106
3,15,31,3,2,26.8,42.0,29,1,871,170,771,-999.00,0,  0.69, CC:106
3,16,31,3,2,26.2,35.0,33,1,795,117,518,-999.00,0,  0.50, CC:106
3,17,31,3,2,25.8,30.0,36,1,467,90,221,-999.00,0,  0.28, CC:106
3,18,31,3,1,24.6,24.5,45,4,0,18,18,-999.00,0,  0.05, CC:106
