v2.2
05/04/2021
06:11:26
18:34:07
68.4
1
Marta Mar&iacute;n Mart&iacute;nez
T&eacute;c. Meteorolog&iacute;a
12/09/2010
10
3,6,20,0,9,15.0,-999.0,93,3,0,37,37,-999.00,0,  0.04, CC:106
3,7,20,0,9,15.2,-999.0,93,3,0,67,67,-999.00,0,  0.28, CC:106
1,8,20,5,10, 0.0,-999,-999,-999,-999,-999,-999,-999,-999,  0.49,
3,9,21,0,7,18.8,-999.0,60,3,0,93,93,-999.00,0,  0.70, CC:106
3,10,21,0,7,19.4,-999.0,71,3,0,189,189,-999.00,0,  0.84, CC:106
1,11,20,7,10, 0.0,-999,-999,-999,-999,-999,-999,-999,-999,  0.93,
3,12,21,0,7,21.4,-999.0,56,3,0,154,154,-999.00,0,  0.96, CC:106
3,13,21,0,6,22.6,-999.0,85,2,0,179,179,-999.00,0,  0.93, CC:106
3,14,21,0,6,23.3,-999.0,61,2,0,128,128,-999.00,0,  0.84, CC:106
3,15,21,0,8,20.9,-999.0,64,3,0,20,20,-999.00,0,  0.69, CC:106
3,16,22,0,6,21.0,-999.0,63,2,0,60,60,-999.00,0,  0.49, CC:106
